,0
AGS - PlayAGS Inc. Common Stock,AGS
AGTI - Agiliti Inc. Common Stock,AGTI
AGX - Argan Inc. Common Stock,AGX
AGYS - Agilysys Inc. Common Stock (DE),AGYS
AHCO - AdaptHealth Corp. Common Stock,AHCO
AHG - Akso Health Group ADS,AHG
AHH - Armada Hoffler Properties Inc. Common Stock,AHH
AHH^A - Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,AHH^A
AHI - Advanced Health Intelligence Ltd. American Depositary Shares,AHI
AHL^C - Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,AHL^C
AHL^D - Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,AHL^D
AHL^E - Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,AHL^E
AHT - Ashford Hospitality Trust Inc Common Stock,AHT
AHT^D - Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,AHT^D
AHT^F - Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,AHT^F
AHT^G - Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,AHT^G
AHT^H - Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,AHT^H
AHT^I - Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,AHT^I
AI - C3.ai Inc. Class A Common Stock,AI
AIB - AIB Acquisition Corporation Class A Ordinary Shares,AIB
AIBBR - AIB Acquisition Corporation Right,AIBBR
AIC - Arlington Asset Investment Corp 6.750% Notes due 2025,AIC
AIF - Apollo Tactical Income Fund Inc. Common Stock,AIF
AIG - American International Group Inc. New Common Stock,AIG
AIG^A - American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock,AIG^A
AIH - Aesthetic Medical International Holdings Group Ltd. American Depositary Shares,AIH
AIHS - Senmiao Technology Limited Common Stock,AIHS
AIM - AIM ImmunoTech Inc. Common Stock,AIM
AIMAW - Aimfinity Investment Corp. I Warrant,AIMAW
AIMD - Ainos Inc. Common Stock,AIMD
AIN - Albany International Corporation Common Stock,AIN
AINC - Ashford Inc. (Holding Company) Common Stock,AINC
AIO - Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,AIO
AIP - Arteris Inc. Common Stock,AIP
AIR - AAR Corp. Common Stock,AIR
AIRC - Apartment Income REIT Corp. Common Stock,AIRC
AIRG - Airgain Inc. Common Stock,AIRG
AIRI - Air Industries Group Common Stock,AIRI
AIRS - AirSculpt Technologies Inc. Common Stock,AIRS
AIRT - Air T Inc. Common Stock,AIRT
AIRTP - Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,AIRTP
AIT - Applied Industrial Technologies Inc. Common Stock,AIT
AIU - Meta Data Limited ADS,AIU
AIV - Apartment Investment and Management Company Common Stock,AIV
AIXI - XIAO-I Corporation American Depositary Shares,AIXI
AIZ - Assurant Inc. Common Stock,AIZ
AIZN - Assurant Inc. 5.25% Subordinated Notes due 2061,AIZN
AJG - Arthur J. Gallagher & Co. Common Stock,AJG
AJRD - Aerojet Rocketdyne Holdings Inc. Common Stock,AJRD
AJX - Great Ajax Corp. Common Stock,AJX
