,0
SPLP^A - Steel Partners Holdings LP 6.0% Series A Preferred Units no par value,SPLP^A
SPNS - Sapiens International Corporation N.V. Common Shares (Cayman Islands),SPNS
SPNT - SiriusPoint Ltd. Common Shares,SPNT
SPNT^B - SiriusPoint Ltd. 8.00% Resettable Fixed Rate Preference Shares Series B $25.00 liquidation preference per share,SPNT^B
SPOK - Spok Holdings Inc. Common Stock,SPOK
SPOT - Spotify Technology S.A. Ordinary Shares,SPOT
SPPI - Spectrum Pharmaceuticals Inc.Common Stock,SPPI
SPR - Spirit Aerosystems Holdings Inc. Common Stock,SPR
SPRB - Spruce Biosciences Inc. Common Stock,SPRB
SPRC - SciSparc Ltd. Ordinary Shares,SPRC
SPRO - Spero Therapeutics Inc. Common Stock,SPRO
SPRU - Spruce Power Holding Corporation Class A Common Stock,SPRU
SPRY - ARS Pharmaceuticals Inc. Common Stock,SPRY
SPSC - SPS Commerce Inc. Common Stock,SPSC
SPT - Sprout Social Inc Class A Common Stock,SPT
SPTN - SpartanNash Company Common Stock,SPTN
SPWH - Sportsman's Warehouse Holdings Inc. Common Stock,SPWH
SPWR - SunPower Corporation Common Stock,SPWR
SPXC - SPX Technologies Inc. Common Stock,SPXC
SPXX - Nuveen S&P 500 Dynamic Overwrite Fund,SPXX
SQ - Block Inc. Class A Common Stock,SQ
SQFT - Presidio Property Trust Inc. Class A Common Stock,SQFT
SQFTP - Presidio Property Trust Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock $0.01 par value per share,SQFTP
SQFTW - Presidio Property Trust Inc. Series A Common Stock Purchase Warrants,SQFTW
SQL - SeqLL Inc. Common stock,SQL
SQLLW - SeqLL Inc. Warrant,SQLLW
SQM - Sociedad Quimica y Minera S.A. Common Stock,SQM
SQNS - Sequans Communications S.A. American Depositary Shares,SQNS
SQSP - Squarespace Inc. Class A Common Stock,SQSP
SQZ - SQZ Biotechnologies Company Common Stock,SQZ
SR - Spire Inc. Common Stock,SR
SR^A - Spire Inc. Depositary Shares each representing a 1/1000th interest in a share of 5.90% Series A Cumulative Redeemable Perpetual Preferred Stock,SR^A
SRAD - Sportradar Group AG Class A Ordinary Shares,SRAD
SRC - Spirit Realty Capital Inc. Common Stock,SRC
SRC^A - Spirit Realty Capital Inc. 6.000% Series A Cumulative Redeemable Preferred Stock,SRC^A
SRCE - 1st Source Corporation Common Stock,SRCE
SRCL - Stericycle Inc. Common Stock,SRCL
SRDX - Surmodics Inc. Common Stock,SRDX
SRE - DBA Sempra Common Stock,SRE
SREA - DBA Sempra 5.750% Junior Subordinated Notes due 2079,SREA
SRG - Seritage Growth Properties Class A Common Stock,SRG
SRG^A - Seritage Growth Properties 7.00% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest,SRG^A
SRGA - Surgalign Holdings Inc. Common Stock,SRGA
SRI - Stoneridge Inc. Common Stock,SRI
SRL - Scully Royalty Ltd.,SRL
SRPT - Sarepta Therapeutics Inc. Common Stock (DE),SRPT
SRRK - Scholar Rock Holding Corporation Common Stock,SRRK
SRT - StarTek Inc. Common Stock,SRT
SRTS - Sensus Healthcare Inc. Common Stock,SRTS
SRV - NXG Cushing Midstream Energy Fund Common Shares of Beneficial Interest,SRV
SRZN - Surrozen Inc. Common Stock,SRZN
SRZNW - Surrozen Inc. Warrant,SRZNW
SSB - SouthState Corporation Common Stock,SSB
SSBI - Summit State Bank Common Stock,SSBI
SSBK - Southern States Bancshares Inc. Common Stock,SSBK
SSD - Simpson Manufacturing Company Inc. Common Stock,SSD
SSIC - Silver Spike Investment Corp. Common Stock,SSIC
SSKN - Strata Skin Sciences Inc. Common Stock,SSKN
SSL - Sasol Ltd. American Depositary Shares,SSL
SSNC - SS&C Technologies Holdings Inc. Common Stock,SSNC
SSNT - SilverSun Technologies Inc. Common Stock,SSNT
SSP - E.W. Scripps Company (The) Class A Common Stock,SSP
SSRM - SSR Mining Inc. Common Stock,SSRM
SSSS - SuRo Capital Corp. Common Stock,SSSS
SSSSL - SuRo Capital Corp. 6.00% Notes due 2026,SSSSL
SST - System1 Inc. Class A Common Stock,SST
SSTI - SoundThinking Inc. Common Stock,SSTI
SSTK - Shutterstock Inc. Common Stock,SSTK
SSU - SIGNA Sports United N.V. Ordinary Share,SSU
SSY - SunLink Health Systems Inc. Common Stock,SSY
SSYS - Stratasys Ltd. Ordinary Shares (Israel),SSYS
ST - Sensata Technologies Holding plc Ordinary Shares,ST
STAA - STAAR Surgical Company Common Stock,STAA
STAF - Staffing 360 Solutions Inc. Common Stock (DE),STAF
STAG - Stag Industrial Inc. Common Stock,STAG
STBA - S&T Bancorp Inc. Common Stock,STBA
STBX - Starbox Group Holdings Ltd. Ordinary Shares,STBX
STC - Stewart Information Services Corporation Common Stock,STC
STCN - Steel Connect Inc. Common Stock,STCN
STE - STERIS plc (Ireland) Ordinary Shares,STE
STEL - Stellar Bancorp Inc. Common Stock,STEL
STEM - Stem Inc. Class A Common Stock,STEM
STEP - StepStone Group Inc. Class A Common Stock,STEP
STER - Sterling Check Corp. Common Stock,STER
STEW - SRH Total Return Fund Inc. Common Stock,STEW
STG - Sunlands Technology Group American Depositary Shares representing Class A ordinary shares,STG
STGW - Stagwell Inc. Class A Common Stock,STGW
STHO - Star Holdings Shares of Beneficial Interest,STHO
STIM - Neuronetics Inc. Common Stock,STIM
STIX - Semantix Inc. Class A Ordinary Shares,STIX
STIXW - Semantix Inc. Warrant,STIXW
STK - Columbia Seligman Premium Technology Growth Fund Inc,STK
STKH - Steakholder Foods Ltd. American Depositary Shares,STKH
STKL - SunOpta Inc. Common Stock,STKL
STKS - The ONE Group Hospitality Inc. Common Stock,STKS
STLA - Stellantis N.V. Common Shares,STLA
STLD - Steel Dynamics Inc.,STLD
STM - STMicroelectronics N.V. Common Stock,STM
STN - Stantec Inc Common Stock,STN
STNE - StoneCo Ltd. Class A Common Shares,STNE
STNG - Scorpio Tankers Inc. Common Shares,STNG
STOK - Stoke Therapeutics Inc. Common Stock,STOK
STR - Sitio Royalties Corp. Class A Common Stock,STR
STRA - Strategic Education Inc. Common Stock,STRA
STRC - Sarcos Technology and Robotics Corporation Common Stock,STRC
STRCW - Sarcos Technology and Robotics Corporation Warrants,STRCW
STRL - Sterling Infrastructure Inc. Common Stock,STRL
STRM - Streamline Health Solutions Inc. Common Stock,STRM
STRO - Sutro Biopharma Inc. Common Stock,STRO
STRR - Star Equity Holdings Inc. Common Stock,STRR
STRRP - Star Equity Holdings Inc. Series A Cumulative Perpetual Preferred Stock,STRRP
STRS - Stratus Properties Inc. Common Stock,STRS
STRT - STRATTEC SECURITY CORPORATION Common Stock,STRT
STRW - Strawberry Fields REIT Inc. Common Stock,STRW
STSS - Sharps Technology Inc. Common Stock,STSS
STSSW - Sharps Technology Inc. Warrant,STSSW
STT - State Street Corporation Common Stock,STT
STT^D - State Street Corporation Depositary Shares representing 1/4000th Perpetual Preferred Series D,STT^D
STT^G - State Street Corporation Depositary shares each representing a 1/4000th ownership interest in a share of Fixed-to-Floating Rate Non-Cumulative,STT^G
STTK - Shattuck Labs Inc. Common Stock,STTK
STVN - Stevanato Group S.p.A. Ordinary Shares,STVN
STWD - STARWOOD PROPERTY TRUST INC. Starwood Property Trust Inc.,STWD
STX - Seagate Technology Holdings PLC Ordinary Shares (Ireland),STX
STXS - Stereotaxis Inc. Common Stock,STXS
STZ - Constellation Brands Inc. Common Stock,STZ
SU - Suncor Energy  Inc. Common Stock,SU
SUAC - ShoulderUp Technology Acquisition Corp. Class A Common Stock,SUAC
SUI - Sun Communities Inc. Common Stock,SUI
SUM - Summit Materials Inc. Class A Common Stock,SUM
SUN - Sunoco LP Common Units representing limited partner interests,SUN
SUNL - Sunlight Financial Holdings Inc. Class A Common Stock,SUNL
SUNW - Sunworks Inc. Common Stock,SUNW
SUP - Superior Industries International Inc. Common Stock (DE),SUP
SUPN - Supernus Pharmaceuticals Inc. Common Stock,SUPN
SUPV - Grupo Supervielle S.A. American Depositary Shares each Representing five Class B shares,SUPV
SURF - Surface Oncology Inc. Common Stock,SURF
SURG - SurgePays Inc. Common Stock,SURG
SURGW - SurgePays Inc. Warrant,SURGW
SUZ - Suzano S.A. American Depositary Shares (each representing One Ordinary Share),SUZ
SVC - Service Properties Trust Common Stock,SVC
SVFD - Save Foods Inc. Common Stock,SVFD
SVII - Spring Valley Acquisition Corp. II Class A Ordinary Shares,SVII
SVIIW - Spring Valley Acquisition Corp. II Warrant,SVIIW
SVM - Silvercorp Metals Inc. Common Shares,SVM
SVRA - Savara Inc. Common Stock,SVRA
SVRE - SaverOne 2014 Ltd. American Depositary Shares,SVRE
SVREW - SaverOne 2014 Ltd. Warrant,SVREW
SVT - Servotronics Inc. Common Stock,SVT
SVVC - Firsthand Technology Value Fund Inc. Common Stock,SVVC
SWAG - Stran & Company Inc. Common Stock,SWAG
SWAGW - Stran & Company Inc. Warrant,SWAGW
SWAV - ShockWave Medical Inc. Common Stock,SWAV
SWBI - Smith & Wesson Brands Inc. Common Stock,SWBI
SWI - SolarWinds Corporation Common Stock,SWI
SWIM - Latham Group Inc. Common Stock,SWIM
SWK - Stanley Black & Decker Inc. Common Stock,SWK
SWKH - SWK Holdings Corporation Common Stock,SWKH
SWKS - Skyworks Solutions Inc. Common Stock,SWKS
SWN - Southwestern Energy Company Common Stock,SWN
SWSS - Springwater Special Situations Corp. Common stock,SWSS
SWSSU - Springwater Special Situations Corp. Unit,SWSSU
SWSSW - Springwater Special Situations Corp. Warrant,SWSSW
SWTX - SpringWorks Therapeutics Inc. Common Stock,SWTX
SWVL - Swvl Holdings Corp Class A Common Shares,SWVL
SWVLW - Swvl Holdings Corp Warrant,SWVLW
SWX - Southwest Gas Holdings Inc. Common Stock (DE),SWX
SWZ - Swiss Helvetia Fund Inc. (The) Common Stock,SWZ
SXC - SunCoke Energy Inc. Common Stock,SXC
SXI - Standex International Corporation Common Stock,SXI
SXT - Sensient Technologies Corporation Common Stock,SXT
SXTC - China SXT Pharmaceuticals Inc. Ordinary Shares,SXTC
SY - So-Young International Inc. American Depository Shares,SY
SYBT - Stock Yards Bancorp Inc. Common Stock,SYBT
SYBX - Synlogic Inc. Common Stock,SYBX
SYF - Synchrony Financial Common Stock,SYF
SYF^A - Synchrony Financial Depositary Shares each Representing a 1/40th Interest in a Share of 5.625% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,SYF^A
SYK - Stryker Corporation Common Stock,SYK
SYM - Symbotic Inc. Class A Common Stock,SYM
SYNA - Synaptics Incorporated Common Stock $0.001 Par Value,SYNA
SYNH - Syneos Health Inc. Class A Common Stock,SYNH
SYPR - Sypris Solutions Inc. Common Stock,SYPR
SYRS - Syros Pharmaceuticals Inc. Common Stock,SYRS
SYT - SYLA Technologies Co. Ltd. American Depositary Shares,SYT
SYTA - Siyata Mobile Inc. Common Shares,SYTA
SYTAW - Siyata Mobile Inc. Warrant,SYTAW
SYY - Sysco Corporation Common Stock,SYY
SZZL - Sizzle Acquisition Corp. Common stock,SZZL
SZZLW - Sizzle Acquisition Corp. Warrant,SZZLW
T - AT&T Inc.,T
T^A - AT&T Inc. Depositary Shares each representing a 1/1000th interest in a share of 5.000% Perpetual Preferred Stock Series A,T^A
T^C - AT&T Inc. Depositary Shares each representing a 1/1000th interest in a share of 4.750% Perpetual Preferred Stock Series C,T^C
TAC - TransAlta Corporation Ordinary Shares,TAC
TACT - TransAct Technologies Incorporated Common Stock,TACT
TAIT - Taitron Components Incorporated Class A Common Stock,TAIT
TAK - Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),TAK
TAL - TAL Education Group American Depositary Shares,TAL
TALK - Talkspace Inc. Common Stock,TALK
TALKW - Talkspace Inc. Warrant,TALKW
TALO - Talos Energy Inc. Common Stock,TALO
TALS - Talaris Therapeutics Inc. Common Stock,TALS
TANH - Tantech Holdings Ltd. Common Shares,TANH
TAOP - Taoping Inc. Ordinary Shares ,TAOP
TAP - Molson Coors Beverage Company Class B Common Stock,TAP
TARA - Protara Therapeutics Inc.  Common Stock,TARA
TARO - Taro Pharmaceutical Industries Ltd. Ordinary Shares,TARO
TARS - Tarsus Pharmaceuticals Inc. Common Stock,TARS
TASK - TaskUs Inc. Class A Common Stock,TASK
TAST - Carrols Restaurant Group Inc. Common Stock,TAST
TATT - TAT Technologies Ltd. Ordinary Shares,TATT
TAYD - Taylor Devices Inc. Common Stock,TAYD
TBB - AT&T Inc. 5.350% Global Notes due 2066,TBB
TBBK - The Bancorp Inc Common Stock,TBBK
TBC - AT&T Inc. 5.625% Global Notes due 2067,TBC
TBCP - Thunder Bridge Capital Partners III Inc. Class A Common Stock,TBCP
TBCPU - Thunder Bridge Capital Partners III Inc. Units,TBCPU
TBCPW - Thunder Bridge Capital Partners III Inc. Warrant,TBCPW
TBI - TrueBlue Inc. Common Stock,TBI
TBIO - Telesis Bio Inc. Common Stock,TBIO
TBLA - Taboola.com Ltd. Ordinary Shares,TBLA
TBLAW - Taboola.com Ltd. Warrant,TBLAW
TBLD - Thornburg Income Builder Opportunities Trust Common Stock,TBLD
TBLT - ToughBuilt Industries Inc. Common Stock,TBLT
TBLTW - ToughBuilt Industries Inc. Warrant,TBLTW
TBMC - Trailblazer Merger Corporation I Class A Common Stock,TBMC
TBMCR - Trailblazer Merger Corporation I Rights,TBMCR
TBNK - Territorial Bancorp Inc. Common Stock,TBNK
TBPH - Theravance Biopharma Inc. Ordinary Shares,TBPH
TC - TuanChe Limited American Depositary Shares,TC
TCBC - TC Bancshares Inc. Common Stock,TCBC
TCBI - Texas Capital Bancshares Inc. Common Stock,TCBI
TCBIO - Texas Capital Bancshares Inc. Depositary Shares 5.75% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series B,TCBIO
TCBK - TriCo Bancshares Common Stock,TCBK
TCBP - TC BioPharm (Holdings) plc American Depositary Shares,TCBP
TCBPW - TC BioPharm (Holdings) plc Warrants,TCBPW
TCBS - Texas Community Bancshares Inc. Common Stock,TCBS
TCBX - Third Coast Bancshares Inc. Common Stock,TCBX
TCFC - The Community Financial Corporation Common Stock,TCFC
TCI - Transcontinental Realty Investors Inc. Common Stock,TCI
TCJH - Top KingWin Ltd Class A Ordinary Shares,TCJH
TCMD - Tactile Systems Technology Inc. Common Stock,TCMD
TCN - Tricon Residential Inc. Common Shares,TCN
TCOA - Trajectory Alpha Acquisition Corp. Class A Common Stock,TCOA
TCOM - Trip.com Group Limited American Depositary Shares,TCOM
TCON - TRACON Pharmaceuticals Inc. Common Stock,TCON
TCPC - BlackRock TCP Capital Corp. Common Stock,TCPC
TCRT - Alaunos Therapeutics Inc. Common Stock,TCRT
TCRX - TScan Therapeutics Inc. Common Stock,TCRX
TCS - Container Store (The) Common Stock,TCS
TCX - Tucows Inc. Class A Common Stock,TCX
TD - Toronto Dominion Bank (The) Common Stock,TD
TDC - Teradata Corporation Common Stock,TDC
TDCX - TDCX Inc. American Depositary Shares each representing one Class A ordinary share,TDCX
TDF - Templeton Dragon Fund Inc. Common Stock,TDF
TDG - Transdigm Group Incorporated Common Stock,TDG
TDOC - Teladoc Health Inc. Common Stock,TDOC
TDS - Telephone and Data Systems Inc. Common Shares,TDS
TDS^U - Telephone and Data Systems Inc. Depositary Shares Each Representing a 1/1000th Interest in a 6.625% Series UU Cumulative Redeemable Perpetual Preferred Stock,TDS^U
TDS^V - Telephone and Data Systems Inc. Depositary Shares Each Representing a 1/1000th Interest in a 6.000% Series VV Cumulative Redeemable Perpetual Preferred Stock,TDS^V
TDUP - ThredUp Inc. Class A Common Stock,TDUP
TDW - Tidewater Inc. Common Stock,TDW
TDY - Teledyne Technologies Incorporated Common Stock,TDY
TEAF - Ecofin Sustainable and Social Impact Term Fund,TEAF
TEAM - Atlassian Corporation Class A Common Stock,TEAM
TECH - Bio-Techne Corp Common Stock,TECH
TECK - Teck Resources Ltd Ordinary Shares,TECK
TECTP - Tectonic Financial Inc. 9.00% Fixed-to-Floating Rate Series B Non-Cumulative Perpetual Preferred Stock,TECTP
TEDU - Tarena International Inc. American Depositary Shares,TEDU
TEF - Telefonica SA Common Stock,TEF
TEI - Templeton Emerging Markets Income Fund Inc. Common Stock,TEI
TEL - TE Connectivity Ltd. New Switzerland Registered Shares,TEL
TELA - TELA Bio Inc. Common Stock,TELA
TELL - Tellurian Inc. Common Stock,TELL
TELZ - Tellurian Inc. 8.25% Senior Notes due 2028,TELZ
TENB - Tenable Holdings Inc. Common Stock,TENB
TENK - TenX Keane Acquisition Ordinary Share,TENK
TENKR - TenX Keane Acquisition Right,TENKR
TENKU - TenX Keane Acquisition Unit,TENKU
TENX - Tenax Therapeutics Inc. Common Stock,TENX
TEO - Telecom Argentina SA,TEO
TER - Teradyne Inc. Common Stock,TER
TERN - Terns Pharmaceuticals Inc. Common Stock,TERN
TESS - TESSCO Technologies Incorporated Common Stock,TESS
TETE - Technology & Telecommunication Acquisition Corporation Class A Ordinary Shares,TETE
TETEU - Technology & Telecommunication Acquisition Corporation Unit,TETEU
TETEW - Technology & Telecommunication Acquisition Corporation Warrant,TETEW
TEVA - Teva Pharmaceutical Industries Limited American Depositary Shares,TEVA
TEX - Terex Corporation Common Stock,TEX
TFC - Truist Financial Corporation Common Stock,TFC
TFC^I - Truist Financial Corporation Depositary Shares,TFC^I
TFC^O - Truist Financial Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of Series O Non-Cumulative Perpetual Preferred Stock,TFC^O
TFC^R - Truist Financial Corporation Depositary Shares each representing 1/1000th interest in a share of Series R Non-Cumulative Perpetual Preferred Stock,TFC^R
TFFP - TFF Pharmaceuticals Inc. Common Stock,TFFP
TFII - TFI International Inc. Common Shares,TFII
TFIN - Triumph Financial Inc. Common Stock,TFIN
TFINP - Triumph Financial Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.125% Series C Fixed-Rate Non-Cumulative Perpetual Preferred Stock,TFINP
TFPM - Triple Flag Precious Metals Corp. Common Shares,TFPM
TFSA - Terra Income Fund 6 LLC 7.00% Notes due 2026,TFSA
TFSL - TFS Financial Corporation Common Stock,TFSL
TFX - Teleflex Incorporated Common Stock,TFX
TG - Tredegar Corporation Common Stock,TG
TGAA - Target Global Acquisition I Corp. Class A Ordinary Share,TGAA
TGAAW - Target Global Acquisition I Corp. Warrant,TGAAW
TGAN - Transphorm Inc. Common Stock,TGAN
TGB - Taseko Mines Ltd. Common Stock,TGB
TGH - Textainer Group Holdings Limited Common Shares,TGH
TGH^A - Textainer Group Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 7.000% Series A Cumulative Redeemable Perpetual Preference Shares,TGH^A
TGH^B - Textainer Group Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 6.250% Series B Cumulative Redeemable Perpetual Preference Shares,TGH^B
TGI - Triumph Group Inc. Common Stock,TGI
TGL - Treasure Global Inc. Common Stock,TGL
TGLS - Tecnoglass Inc. Ordinary Shares,TGLS
TGNA - TEGNA Inc,TGNA
TGS - Transportadora de Gas del Sur SA TGS Common Stock,TGS
TGT - Target Corporation Common Stock,TGT
TGTX - TG Therapeutics Inc. Common Stock,TGTX
TGVC - TG Venture Acquisition Corp. Class A Common Stock,TGVC
TGVCU - TG Venture Acquisition Corp. Units,TGVCU
TH - Target Hospitality Corp. Common Stock,TH
THC - Tenet Healthcare Corporation Common Stock,THC
THCH - TH International Limited Ordinary shares,THCH
THCHW - TH International Limited Warrant,THCHW
THCP - Thunder Bridge Capital Partners IV Inc. Class A Common Stock,THCP
THCPU - Thunder Bridge Capital Partners IV Inc. Unit,THCPU
THCPW - Thunder Bridge Capital Partners IV Inc. Warrant,THCPW
THFF - First Financial Corporation Indiana Common Stock,THFF
THG - Hanover Insurance Group Inc,THG
THM - International Tower Hill Mines Ltd. Ordinary Shares (Canada),THM
THMO - ThermoGenesis Holdings Inc. Common Stock,THMO
THO - Thor Industries Inc. Common Stock,THO
THQ - Tekla Healthcare Opportunies Fund Shares of Beneficial Interest,THQ
THR - Thermon Group Holdings Inc. Common Stock,THR
THRD - Third Harmonic Bio Inc. Common Stock,THRD
THRM - Gentherm Inc Common Stock,THRM
THRN - Thorne Healthtech Inc. Common Stock,THRN
THRX - Theseus Pharmaceuticals Inc. Common Stock,THRX
THRY - Thryv Holdings Inc. Common Stock,THRY
THS - Treehouse Foods Inc. Common Stock,THS
THTX - Theratechnologies Inc. Common Shares,THTX
THW - Tekla World Healthcare Fund Shares of Beneficial Interest,THW
THWWW - Target Hospitality Corp. Warrant expiring 3/15/2024,THWWW
TIGO - Millicom International Cellular S.A. Common Stock,TIGO
TIGR - UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares,TIGR
TIL - Instil Bio Inc. Common Stock,TIL
TILE - Interface Inc. Common Stock,TILE
TIMB - TIM S.A. American Depositary Shares (Each representing 5 Common Shares) ,TIMB
TIO - Tingo Group Inc. Common Stock,TIO
TIPT - Tiptree Inc. Common Stock,TIPT
TIRX - TIAN RUIXIANG Holdings Ltd Class A Ordinary Shares,TIRX
TISI - Team Inc. Common Stock,TISI
TITN - Titan Machinery Inc. Common Stock,TITN
TIVC - Tivic Health Systems Inc. Common Stock,TIVC
TIXT - TELUS International (Cda) Inc. Subordinate Voting Shares,TIXT
TJX - TJX Companies Inc. (The) Common Stock,TJX
TK - Teekay Corporation Common Stock,TK
TKAT - Takung Art Co. Ltd. Common Stock,TKAT
TKC - Turkcell Iletisim Hizmetleri AS Common Stock,TKC
TKLF - Yoshitsu Co. Ltd American Depositary Shares,TKLF
TKNO - Alpha Teknova Inc. Common Stock,TKNO
TKR - Timken Company (The) Common Stock,TKR
TLF - Tandy Leather Factory Inc. Common Stock,TLF
TLGA - TLG Acquisition One Corp. Class A Common Stock,TLGA
TLGY - TLGY Acquisition Corporation Class A Ordinary Share,TLGY
TLGYU - TLGY Acquisition Corporation Unit,TLGYU
TLGYW - TLGY Acquisition Corporation Warrant,TLGYW
TLIS - Talis Biomedical Corporation Common Stock,TLIS
TLK - PT Telekomunikasi Indonesia Tbk,TLK
TLRY - Tilray Brands Inc. Common Stock ,TLRY
TLS - Telos Corporation Common Stock,TLS
TLSA - Tiziana Life Sciences Ltd. Common Shares,TLSA
TLYS - Tilly's Inc. Common Stock,TLYS
TM - Toyota Motor Corporation Common Stock,TM
TMBR - Timber Pharmaceuticals Inc. Common Stock,TMBR
TMC - TMC the metals company Inc. Common Stock,TMC
TMCI - Treace Medical Concepts Inc. Common Stock,TMCI
TMCWW - TMC the metals company Inc. Warrants,TMCWW
TMDX - TransMedics Group Inc. Common Stock,TMDX
TME - Tencent Music Entertainment Group American Depositary Shares each representing two Class A Ordinary Shares,TME
TMHC - Taylor Morrison Home Corporation Common Stock,TMHC
TMKR - Tastemaker Acquisition Corp. Class A Common Stock,TMKR
TMKRU - Tastemaker Acquisition Corp. Unit,TMKRU
TMKRW - Tastemaker Acquisition Corp. Warrant to purchase Class A common stock,TMKRW
TMO - Thermo Fisher Scientific Inc Common Stock,TMO
TMP - Tompkins Financial Corporation Common Stock,TMP
TMPO - Tempo Automation Holdings Inc. Common Stock,TMPO
TMPOW - Tempo Automation Holdings Inc. Warrant,TMPOW
TMQ - Trilogy Metals Inc. Common Stock,TMQ
TMST - TimkenSteel Corporation Common Shares,TMST
TMTC - TMT Acquisition Corp Ordinary Shares,TMTC
TMTCU - TMT Acquisition Corp Unit,TMTCU
TMUS - T-Mobile US Inc. Common Stock,TMUS
TNC - Tennant Company Common Stock,TNC
TNDM - Tandem Diabetes Care Inc. Common Stock,TNDM
TNET - TriNet Group Inc. Common Stock,TNET
TNGX - Tango Therapeutics Inc.,TNGX
TNK - Teekay Tankers Ltd.,TNK
TNL - Travel   Leisure Co. Common  Stock,TNL
TNON - Tenon Medical Inc. Common Stock,TNON
TNONW - Tenon Medical Inc. Warrant,TNONW
TNP - Tsakos Energy Navigation Ltd Common Shares,TNP
TNP^D - Tsakos Energy Navigation Ltd 8.75% Series D Cumulative Redeemable Perpetual Preferred Shares,TNP^D
TNP^E - Tsakos Energy Navigation Ltd Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Shares par value $1.00,TNP^E
TNP^F - Tsakos Energy Navigation Ltd Series F Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Shares par value $1.00,TNP^F
TNXP - Tonix Pharmaceuticals Holding Corp. Common Stock,TNXP
TNYA - Tenaya Therapeutics Inc. Common Stock,TNYA
TOI - The Oncology Institute Inc. Common Stock,TOI
TOIIW - The Oncology Institute Inc. Warrant,TOIIW
TOL - Toll Brothers Inc. Common Stock,TOL
TOMZ - TOMI Environmental Solutions Inc. Common Stock,TOMZ
TOP - TOP Financial Group Limited Ordinary Shares,TOP
TOPS - TOP Ships Inc. Common Stock,TOPS
TORO - Toro Corp. Common Stock,TORO
TOST - Toast Inc. Class A Common Stock,TOST
TOUR - Tuniu Corporation American Depositary Shares,TOUR
TOVX - Theriva Biologics Inc. Common Stock,TOVX
TOWN - TowneBank Common Stock,TOWN
TPB - Turning Point Brands Inc. Common Stock,TPB
TPC - Tutor Perini Corporation Common Stock,TPC
TPCS - TechPrecision Corporation Common stock,TPCS
TPET - Trio Petroleum Corp. Common Stock,TPET
TPG - TPG Inc. Class A Common Stock,TPG
TPH - Tri Pointe Homes Inc. Common Stock,TPH
TPHS - Trinity Place Holdings Inc. Common Stock,TPHS
TPIC - TPI Composites Inc. Common Stock,TPIC
TPL - Texas Pacific Land Corporation Common Stock,TPL
TPR - Tapestry Inc. Common Stock,TPR
TPST - Tempest Therapeutics Inc. Common Stock,TPST
TPTA - Terra Property Trust Inc. 6.00% Notes due 2026,TPTA
TPVG - TriplePoint Venture Growth BDC Corp. Common Stock,TPVG
TPX - Tempur Sealy International Inc. Common Stock,TPX
TPZ - Tortoise Power and Energy Infrastructure Fund Inc Common Stock,TPZ
TR - Tootsie Roll Industries Inc. Common Stock,TR
TRC - Tejon Ranch Co Common Stock,TRC
TRCA - Twin Ridge Capital Acquisition Corp. Class A Ordinary Shares,TRCA
TRDA - Entrada Therapeutics Inc. Common Stock,TRDA
TREE - LendingTree Inc. Common Stock,TREE
TREX - Trex Company Inc. Common Stock,TREX
TRGP - Targa Resources Inc. Common Stock,TRGP
TRHC - Tabula Rasa HealthCare Inc. Common Stock,TRHC
TRI - Thomson Reuters Corp Common Shares,TRI
TRIB - Trinity Biotech plc American Depositary Shares,TRIB
TRIN - Trinity Capital Inc. Common Stock,TRIN
TRINL - Trinity Capital Inc. 7.00% Notes Due 2025,TRINL
TRIP - TripAdvisor Inc. Common Stock,TRIP
TRIS - Tristar Acquisition I Corp. Class A Ordinary Shares,TRIS
TRKA - Troika Media Group Inc. Common Stock,TRKA
TRKAW - Troika Media Group Inc. Warrant,TRKAW
TRMB - Trimble Inc. Common Stock,TRMB
TRMD - TORM plc Class A Common Stock,TRMD
TRMK - Trustmark Corporation Common Stock,TRMK
TRMR - Tremor International Ltd. American Depository Shares,TRMR
TRN - Trinity Industries Inc. Common Stock,TRN
TRNO - Terreno Realty Corporation Common Stock,TRNO
TRNR - Interactive Strength Inc. Common Stock,TRNR
TRNS - Transcat Inc. Common Stock,TRNS
TRON - Corner Growth Acquisition Corp. 2 Class A Ordinary Share,TRON
TRONW - Corner Growth Acquisition Corp. 2 Warrants,TRONW
TROO - TROOPS Inc. Ordinary Shares ,TROO
TROW - T. Rowe Price Group Inc. Common Stock,TROW
TROX - Tronox Holdings plc Ordinary Shares (UK),TROX
TRP - TC Energy Corporation Common Stock,TRP
TRS - TriMas Corporation Common Stock,TRS
TRST - TrustCo Bank Corp NY Common Stock,TRST
TRT - Trio-Tech International Common Stock,TRT
TRTL - TortoiseEcofin Acquisition Corp. III Class A Ordinary Shares,TRTL
