,Low,Open,Volume,High,Close,Adjusted Close,Annual Percent Change,positive,negative,neutral,Label
SOHU,15.885525246628193,16.24714285185357,202739.95798319328,16.66420169237281,16.26142858857868,16.26142858857868,-0.1442818921827254,0.1389114675112069,0.2567367245365554,0.6043518054609498,0.0
SON,59.05508416440306,59.72882352556501,550133.487394958,60.37201677851317,59.73016806209789,59.66758093313009,-0.0486434160159349,0.2625887228683992,0.287011750347235,0.4503995335237546,0.0
SONC,32.454736016013406,32.763099284211464,889318.2561983471,33.14450420032848,32.80861568450928,32.651659074893665,0.2739250855167463,0.3434695538133382,0.3144496485590934,0.3420807525515556,0.0
SOR,38.47415959334173,38.91193272887158,15632.83613445378,39.3865335288168,38.848424382570414,38.81788523056928,-0.1246889243358778,0.2544419859380772,0.1891528707928955,0.5564051528616498,0.0
SP,31.06470584067978,31.5443277038446,83176.91176470589,32.0301679723403,31.551470604263432,31.551470604263432,0.0020695040654383,0.272306080110785,0.2918951555672618,0.435798758185572,0.0
SPB,72.52949563996131,73.84638674118939,461469.12605042016,74.9299578786898,73.7201682178914,73.66167041233608,-0.1651083763905845,0.2702883891253309,0.1505364886061712,0.5791751268912445,0.0
SPCB,3.642899152611484,3.844117641448975,160504.17226890757,4.018361343055212,3.833907551625196,3.833907551625196,-0.6811298383355588,0.3083966619567945,0.2728533568093553,0.4187499831430614,0.0
SPDC,3.050632834326936e-05,3.050632834326936e-05,96.9240506329114,3.050632834326936e-05,3.050632834326936e-05,3.050632834326936e-05,-0.9984926373469446,0.1307402944937348,0.3372272099368274,0.5320324939489365,0.0
SPG,115.85304612872982,117.61899124273732,2056078.361344538,119.15470578490184,117.47840336390904,117.47840336390904,-0.0832288398592461,0.165294837038964,0.2684652860090136,0.5662398901581764,0.0
SPH,15.820504204565738,15.997605019256849,238370.81092436973,16.179789915806104,16.000609277677135,15.974524526035085,0.0541605432184828,0.3005253613460809,0.2652451636424909,0.4342294718138874,0.0
SPIL,8.52322961077278,8.55481477431309,86529.20987654322,8.595183925864138,8.566543237662609,8.566543237662609,0.0746525086275908,0.0288828779011964,0.0314170606434345,0.9397000074386596,0.0
SPLK,101.10382365379012,103.52163882215484,2294261.907563025,105.87046198484276,103.5810504560711,103.5810504560711,-0.2706187625003167,0.152739734450976,0.1784544423326022,0.6688058237648673,0.0
SPLP,40.851260449706,41.37861343191452,10131.210084033612,42.046638665079065,41.456302450484586,41.456302450484586,0.6414648593990757,0.2028037114275826,0.3633851473944054,0.4338111376803782,0.0
SPNS,23.544915936574213,23.96794109184201,149488.76470588235,24.36609244947674,23.938025242140316,23.938025242140316,-0.2260610057922147,0.2357132214587181,0.2141197427408769,0.5501670244460305,0.0
SPOK,7.732426471069079,7.851344549355387,130655.05462184874,7.948823530133031,7.832983199287863,7.832983199287863,-0.2331017384880731,0.1936558828689158,0.3522132907994091,0.4541308185706535,0.0
SPR,34.16163853236607,35.036512631328165,2123041.474789916,35.91743696837866,34.99700718567151,34.99700718567151,-0.1992891220880481,0.3255577790395667,0.2716750927036628,0.4027671229715148,0.0
SPRO,10.690023907809026,11.08771004791742,523426.1879269912,11.466365644110676,11.045980710293035,11.045980710293035,-0.0719476624204299,0.2997267683967948,0.2238761752843857,0.4763970196247101,0.0
SPTN,30.74543275752989,31.235672205436128,333959.43277310923,31.7712394890665,31.25859238921093,31.25859238921093,0.5024844294624311,0.3573788076808507,0.2480312296104702,0.3945899723605676,0.0
SPWH,9.74327731332859,9.969054638838568,743537.5840336134,10.208247906019707,9.96378148503664,9.96378148503664,-0.4180438867871273,0.3354351240077188,0.2223009500120367,0.4422639153365578,0.0
SPWR,19.250840299269733,19.85142856085,3456746.882352941,20.48890759363896,19.86149157195532,19.86149157195532,-0.2989246822698923,0.3459426963763932,0.2656289589311927,0.3884283486443262,0.0
SPXX,16.52815123966762,16.68890762729805,55943.66806722689,16.849521067963927,16.67983192956748,16.67983192956748,-0.0353101590671453,0.0947932638227939,0.6435893326997757,0.2616174618403117,0.0
SQM,83.55609251070423,85.66306713649205,1729697.743697479,87.60179647878438,85.64239487527799,85.64239487527799,0.6127993030452272,0.256271218524004,0.2122999872042176,0.5314287909099625,0.0
SRC,41.87117645520122,42.39016813390396,843428.525210084,42.88630251523827,42.36714290971516,42.36714290971516,-0.0856489999982867,0.3193994688594507,0.2566536181813312,0.4239469207409355,0.0
SRCE,48.320315192727485,48.88399165818671,49172.72689075631,49.44273102383654,48.88092443321933,48.88092443321933,0.0475508192363649,0.2321543152839171,0.2497033451951927,0.5181423428948179,0.0
SRCL,50.05752097057695,50.81340341007008,446347.6092436975,51.53796215217655,50.79218484574005,50.79218484574005,-0.2561865800798799,0.2774728094124132,0.2674335121616928,0.4550936674595707,0.0
SRDX,36.95592433865331,37.70676471806374,41472.012605042015,38.46915966322442,37.72957986142455,37.72957986142455,-0.2839479160632304,0.3297572742216288,0.2117158385459333,0.4585268861614167,0.0
SRE,153.42726891782104,155.0902939483899,1523628.1092436975,156.63151242552686,155.0889077707499,155.0889077707499,0.1925838779192044,0.3643488167526407,0.1326807136854363,0.5029704684909019,0.0
SRNE,2.097689073125855,2.194117642751261,8750300.69327731,2.2779831916344264,2.174407139545729,2.174407139545729,-0.7373035712571234,0.4085938844558162,0.1571332734310999,0.4342728458034495,0.0
SSB,81.26504196038768,82.4046217012806,360120.17647058825,83.5293907357865,82.4461343909512,82.4461343909512,0.0435726798088111,0.2584303704755647,0.3530720837946449,0.3884975424834659,0.0
SSBI,15.5400840374602,15.665378181874251,6289.731092436975,15.834369755592666,15.672605021661068,15.659815832346426,0.046126229084044,0.4006134129657099,0.2938755302752057,0.3055110648615907,0.0
SSD,100.7339075553317,102.25953799335896,203285.8025210084,103.58563027261684,102.10357146703896,102.10148434679049,-0.0768695889166874,0.2838993648067117,0.3070783255078519,0.4090223022426169,0.0
SSTK,66.43886550133969,67.89180680282978,326366.6974789916,69.18493702030983,67.74279434139989,67.70034727529317,-0.3176793860935102,0.2758265617820952,0.3383919752099447,0.3857814675679913,0.0
SSYS,18.61978987285069,19.08630252485516,690705.8445378151,19.62075626950304,19.093151252810696,19.093151252810696,-0.282842513504761,0.2475987309589982,0.2354460999454287,0.5169551634483717,0.0
ST,46.19243695555615,46.92138654244047,1397876.6638655462,47.59107137728138,46.89029417919512,46.89029417919512,-0.1904244583449077,0.3673943170769648,0.1662615330551158,0.4663441534408114,0.0
STAA,70.92882334284421,73.16344535250623,485784.5630252101,75.07367653405967,72.99586122977634,72.99586122977634,-0.3914651056014043,0.3491157307444761,0.2305819528798262,0.4203023079161843,0.0
STAG,34.55237383802398,35.011008479014166,1270293.6596638656,35.40817223877466,34.95829818629417,34.92788176175927,-0.0868202058461065,0.3297177756950259,0.2107284854166209,0.4595537467300891,0.0
STBA,30.639958013005614,31.016890718155548,142515.24789915967,31.39773110782399,31.02596641187908,31.02596641187908,0.006039099932046,0.2082076132128184,0.3948046051304448,0.3969877833669837,0.0
STBZ,29.738734302292784,30.11910356468413,268682.38645418326,30.468366098593904,30.084840706145147,29.61121067487861,0.1017226249067724,0.1749167907983064,0.2398339448496699,0.5852492645382881,0.0
STC,53.77168081588104,54.70042029949797,161131.01680672268,55.51172286923192,54.55752105071765,54.55752105071765,-0.1003971589919527,0.2939324651068697,0.2319231214312215,0.4741444135395189,0.0
STEM,16.21463216342236,16.906093825586716,2831041.19948356,17.522848435386788,16.87972537247869,16.87972537247869,0.1816644549667109,0.506769734621048,0.2853646248579025,0.207865647226572,0.0
STKL,7.479222686350846,7.685042024660511,1035461.6428571428,7.88126048921537,7.687668085098267,7.687668085098267,-0.3094465867023422,0.2506747667508369,0.2409580814059485,0.5083671451630918,0.0
STLD,76.93479009035255,78.41970583170402,2049773.113445378,80.14882356980267,78.64577320643834,78.64577320643834,0.37982917653406,0.3685680829764654,0.2821706731338054,0.3492612349490324,0.0
STLY,8.594810099541386,8.625358611722536,490.295358649789,8.654556922268767,8.620379715529172,8.620379715529172,-0.030942722688817,0.1829478339207443,0.2530334145790248,0.5640187414080808,0.0
STM,37.39628173924294,37.98684878309234,3931416.87815126,38.58126039264583,37.9921849996102,37.9921849996102,-0.0848153221598341,0.2668980204965919,0.2310873803449794,0.5020145930660268,0.0
STNG,31.66413855753025,32.51747891482185,1167909.655462185,33.40819321159555,32.63903358603726,32.62565613995079,0.9227437867967434,0.3248017576709389,0.1985590049810707,0.4766392420791089,0.0
STOR,29.28860082546202,29.555441143132057,3483103.449579832,29.79232772859205,29.5317087413884,29.5317087413884,-0.1364787027256476,0.3219732643504228,0.2135549249127507,0.4644718163247619,0.0
STRA,64.8195799178436,65.79008416568531,135114.3655462185,66.8711764872575,65.90121838225036,65.90121838225036,-0.1386654564884211,0.2461241893703118,0.2761879479202132,0.4776878694227586,0.0
STRL,25.544873902777663,26.03676472191049,164088.75210084033,26.50668063283968,26.04237061989408,26.04237061989408,0.1287462424647971,0.3198436870084454,0.3026464390878876,0.3775098798486094,0.0
